JUPAS,,,,,,,,,,,,Programme,,,
"",,Target,,,,,,1st,2nd,3rd,4th,,Selection,,
Catalogue Programme/ Stream,,,CHI,ENG,MATH,LS,M1/M2,,,,,Weighted,,,Subject Weighting
"",,Percentile,,,,,,Elective,Elective,Elective,Elective,,Principle,,
No.,,,,,,,,,,,,Total,,,
Faculty of Arts,,,,,,,,,,,,,,,
JS4446,Information Engineering,UQ,3,4,5*,4,5,5,,,,38.875,Best 5,"• Mathematics (x 2)• M1 or M2 (x 1.75)• Biology, Chemistry, Physics, Comb. Sci, DAT, ICT (x 1.5)• Liberal Studies (x 0.5)"
"",,M,4,3,5,3,3,5*,4,,,36.75,,
"",,LQ,4,3,5,3,4,4,4,3,,34.5,,
"",,UQ,3,4,4,4,2,5,4,4,,30.25,,• Mathematics (x 1.5)
JS4458,"Systems Engineering andEngineering Management",M,4,3,4,4,,4,4,4,,28,Best 5,"• Biology, Chemistry, Physics, Comb. Sci, BAFS, ICT,"
"",,LQ,4,4,3,4,,5,4,2,,26.75,,• Liberal Studies (x 0.5)
JS4460,Biomedical Engineering,UQ,4,5,5,3,3,5**,5,5,,41.5,Best 5,"• English (x 1.5)• The best one subject of Mathematics or M1/M2 (x 1.5)• Biology, Chemistry, Physics, Comb. Sci (x 1.5)"
"",,M,3,4,5,5*,5,5,5,5,,40,,
"",,LQ,4,4,4,4,,5*,5*,5,,38.5,,
"",,UQ,4,3,5,5,4,4,4,,,29.05,,• Mathematics (x 1.5)
JS4462,"Energy and EnvironmentalEngineering",M,3,3,5,4,5,4,3,,,28,Best 5,"• Biology, Chemistry, Physics, Comb. Sci, DAT, ICT (x 1.5)"
"",,LQ,3,3,5*,4,4,4,,,,27.3,,• Liberal Studies (x 0.5)
JS4468,"Artificial Intelligence: Systems andTechnologies",UQ,4,4,5**,4,5**,5**,5*,,,58,Best 5,"• English (x 1.25)• Chinese (x 1.25)• Mathematics (x 1.75)• M1 or M2 (x 1.75)• Biology, Chemistry, Physics, Comb. Sci, ICT (x 1.5)"
"",,M,3,4,5**,3,5*,5*,5,5,,54.125,,
"",,LQ,3,4,5**,4,5*,5*,5,5,,51.375,,
"",,UQ,3,4,4,4,,5*,5,4,,34.75,,• Mathematics (x 1.5)
JS4386,,M,4,4,5,4,4,4,,,,29.25,Best 5,
"",,LQ,3,4,4,2,4,4,3,,,27.5,,• Liberal Studies (x 0.5)
JS4760,"Bachelor of Science inInterdisciplinary Data Analytics andX Double Major Programme",UQ,3,4,5*,4,5,5,5,,,31,Best 5,• Mathematics (x 1.5)
M,4,4,5*,5,5,4,4,,,29.5,,,,
LQ,5,5,4,4,4,4,4,4,,25,,,,
"JUPASCatalogueNo.",Programme/ Stream,"TargetPercentile",CHI,ENG,MATH,LS,M1/M2,"1stElective","2ndElective","3rdElective","4thElective","ProgrammeWeightedTotal","SelectionPrinciple",Subject Weighting
Faculty of Law,,,,,,,,,,,,,,
"",,UQ,5**,5**,4,5,,5,4,,,54.25,,• English (x 2)
JS4264,,M,5**,5,4,4,,5*,5*,5*,,49.75,4C+2X,• Chinese (x 1.5)
"",,LQ,5*,5*,5,4,,5*,5,,,50.5,,• Liberal Studies (x 2)
JS4903,Bachelor of Laws,UQ,4,5*,5,5*,,4,4,,,47.5,4C+2X,"• English (x 2)• Chinese (x 1.5)• Liberal Studies (x 2)"
"",,M,5,5*,5,4,,5,4,4,,45.25,,
"",,LQ,5,5,4,5,,5,4,3,,43.75,,
Faculty of Medicine,,,,,,,,,,,,,,
"",,UQ,5,5**,5**,5,5,5**,5**,5*,,44,,
JS4501,Medicine (MBChB) Programme,M,5**,5*,5*,5,5,5**,5*,5*,,43,Note,‐‐
"",,LQ,5**,5**,5,5,5,5*,5*,5,,41,,
JS4502,"Medicine (MBChB) ProgrammeGlobal Physician‐LeadershipStream (GPS)",UQ,5**,5*,5*,5**,5**,5**,5**,5**,,47.5,"4C+2X/3XNote",‐‐
M,5*,5**,5**,5**,5*,5**,5**,5*,,47,,,,
LQ,5**,5**,5*,5*,,5**,5**,5*,,46,,,,
"",,,,,,,,,,,,,,
"",,UQ,5,4,5,5,,5*,5,4,,34.1,,
JS4513,Nursing,M,4,4,4,5,,5*,5*,,,32.9,4C+2X,
"",,LQ,5,4,5,4,,5,5,4,,31.1,,
JS4525,Pharmacy,UQ,5*,4,5*,5,4,5*,5,,,36,4C+2X,‐‐
"",,M,5,5,5*,4,3,5*,5,4,,34.5,,
"",,LQ,5*,5,4,4,,5*,5,5,,33,,
"",,UQ,5,4,4,5,,5,4,4,,24.5,,
